Timestamp,Model,Input Tokens,Output Tokens,Cache Hit Tokens,Estimated Cost ($),Function
2025-12-19 23:40:31,unknown,3059,14,0,0.000432,extract_keywords
2025-12-19 23:40:32,unknown,525,2,0,0.000074,extract_keywords
2025-12-19 23:40:34,unknown,2500,18,0,0.000355,extract_keywords
2025-12-19 23:40:36,unknown,3688,10,0,0.000519,extract_keywords
2025-12-19 23:40:39,unknown,3777,17,0,0.000534,extract_keywords
2025-12-19 23:40:41,unknown,2492,12,0,0.000352,extract_keywords
2025-12-19 23:40:42,unknown,1811,14,0,0.000257,extract_keywords
2025-12-19 23:40:44,unknown,3647,9,0,0.000513,extract_keywords
2025-12-19 23:50:52,deepseek-chat,3059,12,128,0.000415,extract_keywords
2025-12-19 23:50:54,deepseek-chat,525,2,512,0.000010,extract_keywords
2025-12-19 23:50:55,deepseek-chat,2500,18,2496,0.000041,extract_keywords
2025-12-19 23:50:57,deepseek-chat,2512,9,0,0.000354,extract_keywords
2025-12-19 23:50:58,deepseek-chat,3777,17,64,0.000525,extract_keywords
2025-12-19 23:51:00,deepseek-chat,2492,12,2432,0.000046,extract_keywords
2025-12-19 23:51:01,deepseek-chat,906,2,0,0.000127,extract_keywords
2025-12-19 23:51:03,deepseek-chat,3647,8,1152,0.000368,extract_keywords
2025-12-20 00:03:02,deepseek-chat,3060,12,128,0.000416,extract_keywords
2025-12-20 00:03:03,deepseek-chat,525,2,512,0.000010,extract_keywords
2025-12-20 00:03:04,deepseek-chat,2621,12,0,0.000370,extract_keywords
2025-12-20 00:03:06,deepseek-chat,2727,18,0,0.000387,extract_keywords
2025-12-20 00:03:08,deepseek-chat,3822,14,64,0.000531,extract_keywords
2025-12-20 00:03:09,deepseek-chat,2478,20,0,0.000353,extract_keywords
2025-12-20 00:03:11,deepseek-chat,2550,8,0,0.000359,extract_keywords
2025-12-20 00:03:13,deepseek-chat,3673,11,1088,0.000380,extract_keywords
2025-12-20 00:46:30,unknown,522,688,0,0.000266,refine_article
2025-12-20 00:52:47,unknown,521,531,448,0.000165,refine_article
2025-12-20 01:06:43,deepseek-chat,203,11,0,0.000031,extract_hot_entities
2025-12-20 01:09:14,deepseek-chat,3054,8,128,0.000414,extract_keywords
2025-12-20 01:09:15,deepseek-chat,525,2,512,0.000010,extract_keywords
2025-12-20 01:09:16,deepseek-chat,2545,13,0,0.000360,extract_keywords
2025-12-20 01:09:17,deepseek-chat,2155,16,0,0.000306,extract_keywords
2025-12-20 01:09:19,deepseek-chat,3822,14,64,0.000531,extract_keywords
2025-12-20 01:09:20,deepseek-chat,1872,9,0,0.000265,extract_keywords
2025-12-20 01:09:21,deepseek-chat,1864,14,0,0.000265,extract_keywords
2025-12-20 01:09:22,deepseek-chat,3656,2,1152,0.000367,extract_keywords
2025-12-20 01:11:54,deepseek-chat,2290,166,0,0.000367,step1_broad_scan_and_plan
2025-12-20 01:13:24,unknown,2172,992,0,0.000582,step3_final_decision
2025-12-20 01:14:58,unknown,3261,2386,0,0.001125,final_summary
2025-12-20 01:15:39,deepseek-chat,502,223,0,0.000133,generate_search_queries
2025-12-20 01:17:23,unknown,32280,2685,0,0.005271,synthesize_notes
2025-12-20 01:19:07,unknown,5109,2783,0,0.001495,generate_draft
2025-12-20 01:19:51,unknown,5134,629,0,0.000895,audit_article
